Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes,
1,1,San Diego Chargers,Eli Manning,QB,Ole Miss,SEC,to Giants,
1,2,Oakland Raiders,Robert Gallery,OT,Iowa,Big Ten,,
1,3,Arizona Cardinals,Larry Fitzgerald,WR,Pittsburgh,Big East,,
1,4,New York Giants,Philip Rivers,QB,NC State,ACC,to Chargers,
1,5,Washington Redskins,Sean Taylor,S,Miami (FL),Big East,,
1,6,Cleveland Browns,Kellen Winslow II,TE,Miami (FL),Big East,from Lions,
1,7,Detroit Lions,Roy Williams,WR,Texas,Big 12,from Browns,
1,8,Atlanta Falcons,DeAngelo Hall,CB,Virginia Tech,Big East,,
1,9,Jacksonville Jaguars,Reggie Williams,WR,Washington,Pac-10,,
1,10,Houston Texans,Dunta Robinson,CB,South Carolina,SEC,,
1,11,Pittsburgh Steelers,Ben Roethlisberger,QB,Miami (OH),MAC,,
1,12,New York Jets,Jonathan Vilma,LB,Miami (FL),Big East,,
1,13,Buffalo Bills,Lee Evans,WR,Wisconsin,Big Ten,,
1,14,Chicago Bears,Tommie Harris,DT,Oklahoma,Big 12,,
1,15,Tampa Bay Buccaneers,Michael Clayton,WR,LSU,SEC,,
1,16,Philadelphia Eagles,Shawn Andrews,G,Arkansas,SEC,from 49ers,
1,17,Denver Broncos,D. J. Williams,LB,Miami (FL),Big East,from Bengles,
1,18,New Orleans Saints,Will Smith,DE,Ohio State,Big Ten,,
1,19,Miami Dolphins,Vernon Carey,OT,Miami (FL),Big East,from Vikings,
1,20,Minnesota Vikings,Kenechi Udeze,DE,USC,Pac-10,from Dolphins,
1,21,New England Patriots,Vince Wilfork,NT,Miami (FL),Big East,from Ravens,
1,22,Buffalo Bills,J. P. Losman,QB,Tulane,C-USA,from Cowboys,
1,23,Seattle Seahawks,Marcus Tubbs,DT,Texas,Big 12,,
1,24,St. Louis Rams,Steven Jackson,RB,Oregon State,Pac-10,from Broncos,
1,25,Green Bay Packers,Ahmad Carroll,CB,Arkansas,SEC,,
1,26,Cincinnati Bengals,Chris Perry,RB,Michigan,Big Ten,from Rams,
1,27,Houston Texans,Jason Babin,DE,Western Michigan,MAC,from Titans,
1,28,Carolina Panthers,Chris Gamble,CB,Ohio State,Big Ten,from Eagles,
1,29,Atlanta Falcons,Michael Jenkins,WR,Ohio State,Big Ten,from Colts,
1,30,Detroit Lions,Kevin Jones,RB,Virginia Tech,Big East,from Cheifs,
1,31,San Francisco 49ers,Rashaun Woods,WR,Oklahoma State,Big 12,from Panthers,
1,32,New England Patriots,Benjamin Watson,TE,Georgia,SEC,,
2,33,Arizona Cardinals,Karlos Dansby,LB,Auburn,SEC,,
2,34,New York Giants,Chris Snee,OT,Boston College,Big East,,
2,35,San Diego Chargers,Igor Olshansky,DT,Oregon,Pac-10,,
2,36,Kansas City Chiefs,Junior Siavii,DT,Oregon,Pac-10,from Lions,
2,37,Detroit Lions,Teddy Lehman,LB,Oklahoma,Big 12,from Browns,
2,38,Pittsburgh Steelers,Ricardo Colclough,CB,Tusculum,SAC,from Falcons,
2,39,Jacksonville Jaguars,Daryl Smith,LB,Georgia Tech,ACC,,
2,40,Tennessee Titans,Ben Troupe,TE,Florida,SEC,from Texans,
2,41,Denver Broncos,Tatum Bell,RB,Oklahoma State,Big 12,from Redskins,
2,42,Tennessee Titans,Travis LaBoy,DE,Hawaiʻi,WAC,from NY Jets,
2,43,Dallas Cowboys,Julius Jones,RB,Notre Dame,Ind. (I-A),from Bills,
2,44,Indianapolis Colts,Bob Sanders,SS,Iowa,Big Ten,from Steelers,
2,45,Oakland Raiders,Jake Grove,C,Virginia Tech,Big East,from BUCS,
2,46,San Francisco 49ers,Justin Smiley,G,Alabama,SEC,,
2,47,Chicago Bears,Tank Johnson,DT,Washington,Pac-10,,
2,48,Minnesota Vikings,Dontarrious Thomas,LB,Auburn,SEC,from Saints,
2,49,Cincinnati Bengals,Keiwan Ratliff,CB,Florida,SEC,,
2,50,New Orleans Saints,Devery Henderson,WR,LSU,SEC,from Viking,
2,51,Baltimore Ravens,Dwan Edwards,DT,Oregon State,Pac-10,,
2,52,Dallas Cowboys,Jacob Rogers,OT,USC,Pac-10,,
2,53,Seattle Seahawks,Michael Boulware,SS,Florida State,ACC,,
2,54,Denver Broncos,Darius Watts,WR,Marshall,MAC,,
2,55,Jacksonville Jaguars,Greg Jones,FB,Florida State,ACC,from Packers,
2,56,Cincinnati Bengals,Madieu Williams,FS,Maryland,ACC,from Dolphins,
2,57,Tennessee Titans,Antwan Odom,DE,Alabama,SEC,,
2,58,San Francisco 49ers,Shawntae Spencer,CB,Pittsburgh,Big East,from Eagles,
2,59,Cleveland Browns,Sean Jones,FS,Georgia,SEC,from Colts,
2,60,New Orleans Saints,Courtney Watson,LB,Notre Dame,Ind. (I-A),from Rams,
2,61,Kansas City Chiefs,Kris Wilson,TE,Pittsburgh,Big East,,
2,62,Carolina Panthers,Keary Colbert,WR,USC,Pac-10,,
2,63,New England Patriots,Marquise Hill,DE,LSU,SEC,,
3,64,Arizona Cardinals,Darnell Dockett,DT,Florida State,ACC,,
3,65,San Diego Chargers,Nate Kaeding,K,Iowa,Big Ten,from NY Giants,
3,66,San Diego Chargers,Nick Hardwick,C,Purdue,Big Ten,,
3,67,Oakland Raiders,Stuart Schweigert,FS,Purdue,Big Ten,,
3,68,Indianapolis Colts,Ben Hartsock,TE,Ohio State,Big Ten,from Browns,
3,69,Indianapolis Colts,Gilbert Gardner,LB,Purdue,Big Ten,from Falcons,
3,70,Green Bay Packers,Joey Thomas,CB,Montana State,Big Sky,from Jaguars,
3,71,Tennessee Titans,Randy Starks,DT,Maryland,ACC,from Texans,
3,72,Green Bay Packers,Donnell Washington,DT,Clemson,ACC,from Redskins,
3,73,Detroit Lions,Keith Smith,CB,McNeese State,Southland,,
3,74,Buffalo Bills,Tim Anderson,DT,Ohio State,Big Ten,,
3,75,Pittsburgh Steelers,Max Starks,OT,Florida,SEC,,
