Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
1,1,Arizona Cardinals,Kyler Murray,QB,Oklahoma,,
1,2,San Francisco 49ers,Nick Bosa,DE,Ohio State,,
1,3,New York Jets,Quinnen Williams,DT,Alabama,,
1,4,Oakland Raiders,Clelin Ferrell,DE,Clemson,,
1,5,Tampa Bay Buccaneers,Devin White,LB,Louisiana State,,
1,6,New York Giants,Daniel Jones,QB,Duke,,
1,7,Jacksonville Jaguars,Joshua Hines-Allen,DE,Kentucky,,
1,8,Detroit Lions,T.J. Hockenson,TE,Iowa,,
1,9,Buffalo Bills,Ed Oliver,DT,Houston,,
1,10,Pittsburgh Steelers,Devin Bush,LB,Michigan,,From DEN
1,11,Cincinnati Bengals,Jonah Williams,OT,Alabama,,
1,12,Green Bay Packers,Rashan Gary,LB,Michigan,,
1,13,Miami Dolphins,Christian Wilkins,DE,Clemson,,
1,14,Atlanta Falcons,Chris Lindstrom,OG,Boston College,,
1,15,Washington Redskins,Dwayne Haskins,QB,Ohio State,,
1,16,Carolina Panthers,Brian Burns,LB,Florida State,,
1,17,New York Giants,Dexter Lawrence,DT,Clemson,,From CLE
1,18,Minnesota Vikings,Garrett Bradbury,C,North Carolina State,,
1,19,Tennessee Titans,Jeffery Simmons,DT,Mississippi State,,
1,20,Denver Broncos,Noah Fant,TE,Iowa,,From PIT
1,21,Green Bay Packers,Darnell Savage,DB,Maryland,,From SEA
1,22,Philadelphia Eagles,Andre Dillard,OT,Washington State,,From BAL
1,23,Houston Texans,Tytus Howard,OT,Alabama State,,
1,24,Oakland Raiders,Josh Jacobs,RB,Alabama,,From CHI
1,25,Baltimore Ravens,Marquise Brown,WR,Oklahoma,,From PHI
1,26,Washington Redskins,Montez Sweat,DE,Mississippi State,,From IND
1,27,Oakland Raiders,Johnathan Abram,DB,Mississippi State,,From DAL
1,28,Los Angeles Chargers,Jerry Tillery,DT,Notre Dame,,
1,29,Seattle Seahawks,L.J. Collier,DE,Texas Christian,,From KC
1,30,New York Giants,Deandre Baker,DB,Georgia,,From NO through GB and SEA
1,31,Atlanta Falcons,Kaleb McGary,OT,Washington,,From LA
1,32,New England Patriots,N'Keal Harry,WR,Arizona State,,
2,33,Arizona Cardinals,Byron Murphy,DB,Washington,,
2,34,Indianapolis Colts,Rock Ya-Sin,DB,Temple,,From NYJ
2,35,Jacksonville Jaguars,Jawaan Taylor,OT,Florida,,From OAK
2,36,San Francisco 49ers,Deebo Samuel,WR,South Carolina,,
2,37,Carolina Panthers,Greg Little,OT,Mississippi,,From NYG through SEA
2,38,Buffalo Bills,Cody Ford,OT,Oklahoma,,From JAX through OAK
2,39,Tampa Bay Buccaneers,Sean Murphy-Bunting,DB,Central Michigan,,
2,40,Oakland Raiders,Trayvon Mullen,DB,Clemson,,From BUF
2,41,Denver Broncos,Dalton Risner,OG,Kansas State,,
2,42,Denver Broncos,Drew Lock,QB,Missouri,,From CIN
2,43,Detroit Lions,Jahlani Tavai,LB,Hawaii,,
2,44,Green Bay Packers,Elgton Jenkins,OG,Mississippi State,,
2,45,New England Patriots,Joejuan Williams,DB,Vanderbilt,,From ATL through LA
2,46,Cleveland Browns,Greedy Williams,DB,Louisiana State,,From WAS through IND
2,47,Seattle Seahawks,Marquise Blair,DB,Utah,,From CAR
2,48,New Orleans Saints,Erik McCoy,C,Texas A&M,,From MIA
2,49,Indianapolis Colts,Ben Banogu,DE,Texas Christian,,From CLE
2,50,Minnesota Vikings,Irv Smith,TE,Alabama,,
2,51,Tennessee Titans,A.J. Brown,WR,Mississippi,,
2,52,Cincinnati Bengals,Drew Sample,TE,Washington,,From PIT through DEN
2,53,Philadelphia Eagles,Miles Sanders,RB,Penn State,,From BAL
2,54,Houston Texans,Lonnie Johnson,DB,Kentucky,,From SEA
2,55,Houston Texans,Max Scharping,OG,Northern Illinois,,
2,56,Kansas City Chiefs,Mecole Hardman,WR,Georgia,,From CHI through NE and LA
2,57,Philadelphia Eagles,J.J. Arcega-Whiteside,WR,Stanford,,
2,58,Dallas Cowboys,Trysten Hill,DT,Central Florida,,
2,59,Indianapolis Colts,Parris Campbell,WR,Ohio State,,
2,60,Los Angeles Chargers,Nasir Adderley,DB,Delaware,,
2,61,Los Angeles Rams,Taylor Rapp,DB,Washington,,From KC
2,62,Arizona Cardinals,Andy Isabella,WR,Massachusetts,,From NO through MIA
2,63,Kansas City Chiefs,Juan Thornhill,DB,Virginia,,From LA
2,64,Seattle Seahawks,D.K. Metcalf,WR,Mississippi,,From NE
3,65,Arizona Cardinals,Zach Allen,DE,Boston College,,
3,66,Pittsburgh Steelers,Diontae Johnson,WR,Toledo,,From OAK
3,67,San Francisco 49ers,Jalen Hurd,WR,Baylor,,
3,68,New York Jets,Jachai Polite,LB,Florida,,
3,69,Jacksonville Jaguars,Josh Oliver,TE,San Jose State,,
3,70,Los Angeles Rams,Darrell Henderson,RB,Memphis,,From TB
3,71,Denver Broncos,Dre'Mont Jones,DE,Ohio State,,
3,72,Cincinnati Bengals,Germaine Pratt,LB,North Carolina State,,
3,73,Chicago Bears,David Montgomery,RB,Iowa State,,From DET through NE
3,74,Buffalo Bills,Devin Singletary,RB,Florida Atlantic,,
3,75,Green Bay Packers,Jace Sternberger,TE,Texas A&M,,
3,76,Washington Redskins,Terry McLaurin,WR,Ohio State,,
3,77,New England Patriots,Chase Winovich,DE,Michigan,,From CAR through SEA
3,78,Miami Dolphins,Michael Deiter,C,Wisconsin,,
3,79,Los Angeles Rams,David Long,DB,Michigan,,From ATL
3,80,Cleveland Browns,Sione Takitaki,LB,Brigham Young,,
3,81,Detroit Lions,William Harris,DB,Boston College,,From MIN
3,82,Tennessee Titans,Nate Davis,OG,North Carolina-Charlotte,,
3,83,Pittsburgh Steelers,Justin Layne,DB,Michigan State,,
3,84,Kansas City Chiefs,Khalen Saunders,DT,Western Illinois,,From SEA
3,85,Baltimore Ravens,Jaylon Ferguson,DE,Louisiana Tech,,
3,86,Houston Texans,Kahale Warring,TE,San Diego State,,
3,87,New England Patriots,Damien Harris,RB,Alabama,,From CHI
3,88,Seattle Seahawks,Cody Barton,LB,Utah,,From PHI through DET and MIN
3,89,Indianapolis Colts,Bobby Okereke,LB,Stanford,,
3,90,Dallas Cowboys,Connor McGovern,C,Penn State,,
3,91,Los Angeles Chargers,Trey Pipkins,OT,Sioux Falls,,
3,92,New York Jets,Chuma Edoga,OG,Southern California,,From KC through SEA and MIN
3,93,Baltimore Ravens,Miles Boykin,WR,Notre Dame,,From NO through NYJ and MIN
3,94,Tampa Bay Buccaneers,Jamel Dean,DB,Auburn,,From LA
3,95,New York Giants,Oshane Ximines,LB,Old Dominion,,From NE through CLE
3,96,Buffalo Bills,Dawson Knox,TE,Mississippi,,From WASCompensatory Selection
3,97,Los Angeles Rams,Bobby Evans,OT,Oklahoma,,From NECompensatory Selection
3,98,Jacksonville Jaguars,Quincy Williams,LB,Murray State,,From LACompensatory Selection
3,99,Tampa Bay Buccaneers,Mike Edwards,DB,Kentucky,,From LACompensatory Selection
3,100,Carolina Panthers,Will Grier,QB,West Virginia,,Compensatory Selection
3,101,New England Patriots,Yodny Cajuste,OT,West Virginia,,Reacquired through LACompensatory Selection
3,102,Minnesota Vikings,Alexander Mattison,RB,Boise State,,From BALCompensatory Selection
4,103,Arizona Cardinals,Hakeem Butler,WR,Iowa State,,
4,104,Cincinnati Bengals,Ryan Finley,QB,North Carolina State,,From SF
4,105,New Orleans Saints,Chauncey Gardner-Johnson,DB,Florida,,From NYJ
4,106,Oakland Raiders,Maxx Crosby,DE,Eastern Michigan,,
4,107,Tampa Bay Buccaneers,Anthony Nelson,LB,Iowa,,
4,108,New York Giants,Julian Love,DB,Notre Dame,,
4,109,Indianapolis Colts,Khari Willis,DB,Michigan State,,From JAX through OAK
4,110,San Francisco 49ers,Mitch Wishnowsky,P,Utah,,From CIN
4,111,Atlanta Falcons,Kendall Sheffield,DB,Ohio State,,From DET
4,112,Washington Redskins,Bryce Love,RB,Stanford,,From BUF
4,113,Baltimore Ravens,Justice Hill,RB,Oklahoma State,,From DEN
4,114,Minnesota Vikings,Dru Samia,OG,Oklahoma,,From GB through SEA
4,115,Carolina Panthers,Christian Miller,LB,Alabama,,
4,116,Tennessee Titans,Amani Hooker,DB,Iowa,,From MIA through NO and NYJ
4,117,Detroit Lions,Austin Bryant,LB,Clemson,,From ATL
4,118,New England Patriots,Hjalte Froholdt,OG,Arkansas,,From WAS through GB and SEA
4,119,Cleveland Browns,Sheldrick Redwine,DB,Miami,,
4,120,Seattle Seahawks,Gary Jennings,WR,West Virginia,,From MIN
4,121,New York Jets,Trevon Wesco,TE,West Virginia,,From TEN
4,122,Pittsburgh Steelers,Benjamin Snell,RB,Kentucky,,
4,123,Baltimore Ravens,Ben Powers,OG,Oklahoma,,
4,124,Seattle Seahawks,Phil Haynes,OG,Wake Forest,,
4,125,Cincinnati Bengals,Renell Wren,DT,Arizona State,,From HOU through DEN
4,126,Chicago Bears,Riley Ridley,WR,Georgia,,
4,127,Baltimore Ravens,Iman Marshall,DB,Southern California,,From PHI
4,128,Dallas Cowboys,Tony Pollard,RB,Memphis,,
4,129,Oakland Raiders,Isaiah Johnson,DB,Houston,,From IND
4,130,Los Angeles Chargers,Drue Tranquill,LB,Notre Dame,,
4,131,Washington Redskins,Wes Martin,OG,Indiana,,From KC through BUF
4,132,Seattle Seahawks,Ugo Amadi,DB,Oregon,,From NO through NYG
4,133,New England Patriots,Jarrett Stidham,QB,Auburn,,From LA
4,134,Los Angeles Rams,Greg Gaines,DT,Washington,,From NE
4,135,Atlanta Falcons,John Cominsky,DE,Charleston,,From IND through OAKCompensatory Selection
4,136,Cincinnati Bengals,Michael Jordan,OG,Ohio State,,From DALCompensatory Selection
4,137,Oakland Raiders,Foster Moreau,TE,Louisiana State,,From ATLCompensatory Selection
4,138,Philadelphia Eagles,Shareef Miller,LB,Penn State,,Compensatory Selection
5,139,Arizona Cardinals,Deionte Thompson,DB,Alabama,,
5,140,Jacksonville Jaguars,Ryquell Armstead,RB,Temple,,From NYJ through OAK
5,141,Pittsburgh Steelers,Zach Gentry,TE,Michigan,,From OAK
5,142,Seattle Seahawks,Ben Burr-Kirven,LB,Washington,,From SF through DET and NYG
5,143,New York Giants,Ryan Connelly,LB,Wisconsin,,
5,144,Indianapolis Colts,Marvell Tell,DB,Southern California,,From JAX through CLE
5,145,Tampa Bay Buccaneers,Matt Gay,K,Utah,,
5,146,Detroit Lions,Amani Oruwariye,DB,Penn State,,
5,147,Buffalo Bills,Vosean Joseph,LB,Florida,,
5,148,San Francisco 49ers,Dre Greenlaw,LB,Arkansas,,From DEN
5,149,Oakland Raiders,Hunter Renfrow,WR,Clemson,,From CIN through DAL
