Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
1,1,St. Louis Rams,Sam Bradford,QB,Oklahoma,,
1,2,Detroit Lions,Ndamukong Suh,DT,Nebraska,,
1,3,Tampa Bay Buccaneers,Gerald McCoy,DT,Oklahoma,,
1,4,Washington Redskins,Trent Williams,OT,Oklahoma,,
1,5,Kansas City Chiefs,Eric Berry,DB,Tennessee,,
1,6,Seattle Seahawks,Russell Okung,OT,Oklahoma State,,
1,7,Cleveland Browns,Joe Haden,DB,Florida,,
1,8,Oakland Raiders,Rolando McClain,LB,Alabama,,
1,9,Buffalo Bills,C.J. Spiller,RB,Clemson,,
1,10,Jacksonville Jaguars,Tyson Alualu,DT,California,,
1,11,San Francisco 49ers,Anthony Davis,OT,Rutgers,,From CHI through DEN
1,12,San Diego Chargers,Ryan Mathews,RB,Fresno State,,From MIA
1,13,Philadelphia Eagles,Brandon Graham,DE,Michigan,,From SF through DEN
1,14,Seattle Seahawks,Earl Thomas,DB,Texas,,From DEN
1,15,New York Giants,Jason Pierre-Paul,DE,South Florida,,
1,16,Tennessee Titans,Derrick Morgan,LB,Georgia Tech,,
1,17,San Francisco 49ers,Mike Iupati,OG,Idaho,,From CAR
1,18,Pittsburgh Steelers,Maurkice Pouncey,C,Florida,,
1,19,Atlanta Falcons,Sean Weatherspoon,LB,Missouri,,
1,20,Houston Texans,Kareem Jackson,DB,Alabama,,
1,21,Cincinnati Bengals,Jermaine Gresham,TE,Oklahoma,,
1,22,Denver Broncos,Demaryius Thomas,WR,Georgia Tech,,From NE
1,23,Green Bay Packers,Bryan Bulaga,OT,Iowa,,
1,24,Dallas Cowboys,Dez Bryant,WR,Oklahoma State,,From PHI through DEN and NE
1,25,Denver Broncos,Tim Tebow,QB,Florida,,From BAL
1,26,Arizona Cardinals,Dan Williams,DT,Tennessee,,
1,27,New England Patriots,Devin McCourty,DB,Rutgers,,From DAL
1,28,Miami Dolphins,Jared Odrick,DE,Penn State,,From SD
1,29,New York Jets,Kyle Wilson,DB,Boise State,,
1,30,Detroit Lions,Jahvid Best,RB,California,,From MIN
1,31,Indianapolis Colts,Jerry Hughes,DE,Texas Christian,,
1,32,New Orleans Saints,Patrick Robinson,DB,Florida State,,
2,33,St. Louis Rams,Rodger Saffold,OG,Indiana,,
2,34,Minnesota Vikings,Chris Cook,DB,Virginia,,From DET
2,35,Tampa Bay Buccaneers,Brian Price,DT,UCLA,,
2,36,Kansas City Chiefs,Dexter McCluster,WR,Mississippi,,
2,37,Philadelphia Eagles,Nate Allen,DB,South Florida,,From WAS
2,38,Cleveland Browns,T.J. Ward,DB,Oregon,,
2,39,Tampa Bay Buccaneers,Arrelious Benn,WR,Illinois,,From OAK
2,40,Miami Dolphins,Koa Misi,LB,Utah,,From SEA through SD
2,41,Buffalo Bills,Torell Troup,DT,Central Florida,,
2,42,New England Patriots,Rob Gronkowski,TE,Arizona,,From CHI through TB and OAK
